fold,condition,feature,horizon,seed,auc
W5,with_pp_bond_1m,pp_bond,1,0,0.4753694581280789
W5,with_pp_bond_1m,pp_bond,1,99,0.541871921182266
W5,with_pp_stock_1m,pp_stock,1,42,0.5763546798029556
W5,with_pp_stock_1m,pp_stock,1,123,0.332512315270936
W5,with_pp_stock_1m,pp_stock,1,777,0.31773399014778325
W5,with_pp_stock_1m,pp_stock,1,0,0.4753694581280789
W5,with_pp_stock_1m,pp_stock,1,99,0.541871921182266
W5,with_fomo_gap_1m,fomo_gap,1,42,0.5763546798029556
W5,with_fomo_gap_1m,fomo_gap,1,123,0.332512315270936
W5,with_fomo_gap_1m,fomo_gap,1,777,0.31773399014778325
W5,with_fomo_gap_1m,fomo_gap,1,0,0.4753694581280789
W5,with_fomo_gap_1m,fomo_gap,1,99,0.541871921182266
W5,with_pp_bond_3m,pp_bond,3,42,0.5763546798029556
W5,with_pp_bond_3m,pp_bond,3,123,0.332512315270936
W5,with_pp_bond_3m,pp_bond,3,777,0.31773399014778325
W5,with_pp_bond_3m,pp_bond,3,0,0.4753694581280789
W5,with_pp_bond_3m,pp_bond,3,99,0.541871921182266
W5,with_pp_stock_3m,pp_stock,3,42,0.5763546798029556
W5,with_pp_stock_3m,pp_stock,3,123,0.332512315270936
W5,with_pp_stock_3m,pp_stock,3,777,0.31773399014778325
W5,with_pp_stock_3m,pp_stock,3,0,0.4753694581280789
W5,with_pp_stock_3m,pp_stock,3,99,0.541871921182266
W5,with_fomo_gap_3m,fomo_gap,3,42,0.5763546798029556
W5,with_fomo_gap_3m,fomo_gap,3,123,0.332512315270936
W5,with_fomo_gap_3m,fomo_gap,3,777,0.31773399014778325
W5,with_fomo_gap_3m,fomo_gap,3,0,0.4753694581280789
W5,with_fomo_gap_3m,fomo_gap,3,99,0.541871921182266
W5,with_pp_bond_6m,pp_bond,6,42,0.5763546798029556
W5,with_pp_bond_6m,pp_bond,6,123,0.4679802955665025
W5,with_pp_bond_6m,pp_bond,6,777,0.31773399014778325
W5,with_pp_bond_6m,pp_bond,6,0,0.4753694581280789
W5,with_pp_bond_6m,pp_bond,6,99,0.541871921182266
W5,with_pp_stock_6m,pp_stock,6,42,0.5763546798029556
W5,with_pp_stock_6m,pp_stock,6,123,0.332512315270936
W5,with_pp_stock_6m,pp_stock,6,777,0.31773399014778325
W5,with_pp_stock_6m,pp_stock,6,0,0.4753694581280789
W5,with_pp_stock_6m,pp_stock,6,99,0.541871921182266
W5,with_fomo_gap_6m,fomo_gap,6,42,0.5763546798029556
W5,with_fomo_gap_6m,fomo_gap,6,123,0.332512315270936
W5,with_fomo_gap_6m,fomo_gap,6,777,0.31773399014778325
W5,with_fomo_gap_6m,fomo_gap,6,0,0.4753694581280789
W5,with_fomo_gap_6m,fomo_gap,6,99,0.541871921182266
W5,with_pp_bond_12m,pp_bond,12,42,0.5763546798029556
W5,with_pp_bond_12m,pp_bond,12,123,0.770935960591133
W5,with_pp_bond_12m,pp_bond,12,777,0.7586206896551724
W5,with_pp_bond_12m,pp_bond,12,0,0.832512315270936
W5,with_pp_bond_12m,pp_bond,12,99,0.7167487684729064
W5,with_pp_stock_12m,pp_stock,12,42,0.5763546798029556
W5,with_pp_stock_12m,pp_stock,12,123,0.332512315270936
W5,with_pp_stock_12m,pp_stock,12,777,0.31773399014778325
W5,with_pp_stock_12m,pp_stock,12,0,0.4753694581280789
W5,with_pp_stock_12m,pp_stock,12,99,0.541871921182266
W5,with_fomo_gap_12m,fomo_gap,12,42,0.5763546798029556
W5,with_fomo_gap_12m,fomo_gap,12,123,0.332512315270936
W5,with_fomo_gap_12m,fomo_gap,12,777,0.31773399014778325
W5,with_fomo_gap_12m,fomo_gap,12,0,0.4753694581280789
W5,with_fomo_gap_12m,fomo_gap,12,99,0.541871921182266
