fold,date,p_up,w
W2,2016-12-31,0.06778656723814086,1.9953670024387673
W2,2017-01-31,0.0722668917115564,1.9964563945999458
W2,2017-02-28,0.10507535124173056,1.999030933132715
W2,2017-03-31,0.09235400118034985,1.992195018833443
W2,2017-04-30,0.06465817170250579,1.9972790991838554
W2,2017-05-31,0.09112818516447084,1.9992882341330447
W2,2017-06-30,0.08476853220801706,1.9985275840208034
W2,2017-07-31,0.08982707278479667,1.998381617220123
W2,2017-08-31,0.08794809983266126,1.994843044813357
W2,2017-09-30,0.08179040675071748,1.9972776139581991
W2,2017-10-31,0.10954189331612299,1.9985345625070954
W2,2017-11-30,0.09866408679047227,1.9991793880452655
W2,2017-12-31,0.11684583764434343,1.9986895381088505
W2,2018-01-31,0.06536269984196727,1.9997112896918514
W2,2018-02-28,0.17968745850803222,1.9818766289576826
W2,2018-03-31,0.1163589983125672,1.7177964174876212
W2,2018-04-30,0.05558865621688897,1.5146494091322737
W2,2018-05-31,0.0479098860603636,1.9172544906358786
W2,2018-06-30,0.06697377213219122,1.9120482972370731
W2,2018-07-31,0.06166275061518267,1.9411971309204614
W2,2018-08-31,0.07126380748182243,1.9968607574757065
W2,2018-09-30,0.07647921824777004,1.9983664099330003
W2,2018-10-31,0.09592183437250813,1.9514232453624294
W2,2018-11-30,0.0791653207667602,1.6499519362580968
W2,2018-12-31,0.12125499195062134,1.019283871899587
W2,2019-01-31,0.09411524785562321,1.031611848994268
W2,2019-02-28,0.11155241977829806,1.604109504336908
W2,2019-03-31,0.08728482434469502,1.630788018447943
W2,2019-04-30,0.06949455463487604,1.9878746801649103
W2,2019-05-31,0.17470088462413438,1.9659658750774778
W2,2019-06-30,0.06402787830772347,1.9802089570925043
W2,2019-07-31,0.07149175836873585,1.9985059055047418
W2,2019-08-31,0.11172152177184679,1.95946173261631
W2,2019-09-30,0.06573041551535878,1.9674806472633968
W2,2019-10-31,0.09903958598953258,1.9686717262656284
W2,2019-11-30,0.057182012487739985,1.9991056497420114
W2,2019-12-31,0.08225210663922784,1.9948683535855414
W2,2020-01-31,0.07735366092746222,1.9972119811228752
W2,2020-02-29,0.14461595051426115,1.9343537717176065
W2,2020-03-31,0.42122661533826805,1.0000000181343238
W2,2020-04-30,0.40863719002337967,1.000000003092766
W2,2020-05-31,0.35559040460975405,1.000055540497238
W2,2020-06-30,0.35559040460975405,1.0056557956486978
W3,2020-08-31,0.1434727782077385,1.9906075458827708
W3,2020-09-30,0.1801999422709129,1.9991598454121933
W3,2020-10-31,0.1342660710856333,1.4526179551641905
W3,2020-11-30,0.1396982050465153,1.9961991582312206
W3,2020-12-31,0.1309485015536675,1.9979510700462266
