feature,fold,a0,a_f,b0,b_f,f_mean_train,f_std_train,train_sh,test_sh,baseline_test_sh,delta_test_sh,test_ann_ret,mean_ws
sp_52wh_ratio,W1,1.7876363976724177,0.7810771061535363,2.1365400712565594,-0.863523940004009,0.9415549095940331,0.09249422852608499,0.5481054361031512,0.7583430713954514,0.0,0.7583430713954514,8.499652582390693,0.8518518518518519
sp_52wh_ratio,W2,1.53899535753141,0.7575031760561347,2.1576798931147034,-0.9084565703870902,0.940700230214379,0.09288933036112733,0.4104824790314824,0.41816228424153995,0.15046437868006127,0.26769790556147866,6.568339721446748,0.7833333333333333
sp_52wh_ratio,W3,2.3006405337033353,0.7473428848079943,1.4714646292964597,-0.6416080422948365,0.9394178094206362,0.09301836795296128,0.5843579477892638,0.6025890361591884,-0.12827138301802968,0.730860419177218,11.188293390655812,0.8907407407407407
sp_52wl_ratio,W1,1.8492343102926805,0.8151696193962102,1.5512184563383797,-0.9879308106185526,1.1500350170749383,0.11560153812036579,0.5903400285825254,0.854000948396881,0.0,0.854000948396881,8.834871114858323,0.7601851851851852
sp_52wl_ratio,W2,2.1045964005310482,0.6623570580486111,1.8452432998254376,-0.9088550503467764,1.1588335210737513,0.11341519715298508,0.5455805723325996,0.42246382074319044,0.15046437868006127,0.2719994420631292,6.636510189566103,0.8388888888888888
sp_52wl_ratio,W3,2.119783992417773,0.8055799409999607,1.1355446863694902,-0.7153367729570853,1.1372569839034625,0.09945073584931335,0.6935004602708652,0.6145280238222576,-0.12827138301802968,0.7427994068402872,11.44213450823337,0.8898148148148147
sp_in_range,W1,1.8723776754198243,0.4955671543867357,1.920660387922882,-0.6951321478172965,0.7093357293494388,0.3507932050762928,0.5538704012478415,0.7583430713954514,0.0,0.7583430713954514,8.499652582390693,0.8703703703703703
sp_in_range,W2,2.1898245038895565,0.7414139313248191,1.8410469367983382,-0.47153325848247357,0.7164122789220564,0.3514890702098849,0.438261418710075,0.49682675375581825,0.15046437868006127,0.34636237507575696,7.855117751551255,0.8740740740740741
sp_in_range,W3,2.466862967312755,0.6854108929005698,1.0441244715709834,-0.2630596762498652,0.7012303645178174,0.3568620959409084,0.701412333766853,0.6145280238222576,-0.12827138301802968,0.7427994068402872,11.44213450823337,0.9259259259259259
ndx_52wh_ratio,W1,1.9735014742434813,0.8244325137418637,1.4107652286862933,-1.2652255433520805,0.90135259640603,0.14971353551655345,0.6140159547930444,0.7966149355974586,0.0,0.7966149355974586,9.451560962703255,1.0
ndx_52wh_ratio,W2,1.9087820630025791,0.9653708506717541,1.7333521932219078,-1.0661757361392392,0.9049700143059016,0.15034621967790576,0.47699646030053566,0.49682675375581825,0.15046437868006127,0.34636237507575696,7.855117751551255,0.9629629629629629
ndx_52wh_ratio,W3,1.8103585244400315,0.8812350132801784,1.4685369393075844,-1.356492451146956,0.9102956705339321,0.14819550311123886,0.6403648474757202,0.6015726091758731,-0.12827138301802968,0.7298439921939027,11.173740090948957,0.7972222222222222
ndx_52wl_ratio,W1,1.7003553800448286,1.1074502290493033,1.1572510727817225,-1.0296358105065608,1.2901802211774926,0.22995697721123606,0.3805721463479974,0.5484138508430375,0.0,0.5484138508430375,5.0134683694206705,0.5185185185185185
ndx_52wl_ratio,W2,1.6189885718825507,0.00529229651415213,1.8318225921850273,-0.3748870694470152,1.2734829737448332,0.22169173735106507,0.3569984618223641,0.5028893289501023,0.15046437868006127,0.35242495027004106,7.9520071226739875,0.8601851851851853
ndx_52wl_ratio,W3,2.2176652913764108,0.6522811751908326,1.5977558303163641,-0.3505871874957967,1.2014252622704034,0.1355246670868208,0.6448784070815574,0.6025890361591884,-0.12827138301802968,0.730860419177218,11.188293390655812,0.8555555555555556
ndx_in_range,W1,2.002762003129211,1.068941315521847,1.6551640579855667,-0.9286485188994221,0.7021404539468536,0.34750679663890516,0.507949024481775,0.7583430713954514,0.0,0.7583430713954514,8.499652582390693,0.9259259259259259
ndx_in_range,W2,2.1463639541705772,0.5476168389207504,1.2421720323249323,-0.4442747469122276,0.7144385435385487,0.3462792318679173,0.37989823662723465,0.6592332216246302,0.15046437868006127,0.5087688429445689,10.666889033531724,0.9814814814814815
ndx_in_range,W3,2.3307588337879417,0.624512974953608,1.2322290547350596,-0.512711746134095,0.7068052388719435,0.3509455932266435,0.6422976521872124,0.6015726091758731,-0.12827138301802968,0.7298439921939027,11.173740090948957,0.8185185185185185
sp_3m_mean,W1,1.10983193811618,-0.0474572433163302,2.377971121620853,-0.452586585952644,0.006515240159246549,0.02598268884137308,0.4671494323961903,0.0,0.0,0.0,0.05464249393598575,0.0
sp_3m_mean,W2,1.489507380183717,0.43618046112340186,2.3910100747269736,-0.5311459457738775,0.006152517166667469,0.026304564728998333,0.4468914753226964,0.018900346507315945,0.15046437868006127,-0.13156403217274532,0.6632819636515519,0.5138888888888888
sp_3m_mean,W3,1.7695645108564975,0.47220845152678254,2.261343873041183,-0.7119654171465917,0.004970512039651794,0.025623647360365452,0.6766594150812886,0.1789255170641507,-0.12827138301802968,0.30719690008218037,4.891300399600285,0.5898148148148148
sp_6m_mean,W1,2.1824678956540926,1.1099585348042187,1.6052878414097387,-0.8920707993988406,0.0062575861359023795,0.01965972039723997,0.5407957339316013,0.7180928667480975,0.0,0.7180928667480975,8.337176619309528,0.8703703703703703
sp_6m_mean,W2,2.313948049380479,0.991951061505318,1.8359668098680821,-0.9192527106408,0.006185514497143774,0.019823374990342448,0.528208182292704,0.5028893289501023,0.15046437868006127,0.35242495027004106,7.9520071226739875,0.8907407407407407
sp_6m_mean,W3,2.050031264186126,1.0080440583379582,1.6439313665731035,-0.7051837719067054,0.004707995947140631,0.018976751312512977,0.6108568797147932,0.4765794968823638,-0.12827138301802968,0.6048508799003934,8.764180969363311,0.8
sp_3m_std,W1,1.734239005486129,-0.47068360026991224,2.5346384770452803,0.7589803691865965,0.03570515882531629,0.022834748241821475,0.5490373780929426,0.7011250548663089,0.0,0.7011250548663089,7.566956788025303,0.6296296296296297
sp_3m_std,W2,1.9129883101176366,-0.321041036983079,2.565544689889705,0.4508320927068821,0.0366724312866209,0.023187558710189096,0.5003764906578752,0.32941743532986145,0.15046437868006127,0.17895305664980019,4.736836681433587,0.6333333333333334
sp_3m_std,W3,1.9279066476813138,-0.3096969478834501,2.276179405538178,-0.13492530437481992,0.03517453439757741,0.024402298375913924,0.5573658913185023,0.637743621986867,-0.12827138301802968,0.7660150050048966,7.825604816066978,0.37222222222222223
sp_6m_std,W1,1.5340332919749884,-0.7796079247396792,2.5923328566244703,0.9268592963323864,0.03793751553324623,0.018569278780863493,0.5100556413405397,0.6118927005924035,0.0,0.6118927005924035,6.5369705750430995,0.7037037037037037
sp_6m_std,W2,1.6081592085469159,-0.6203324869357058,2.7025668626336525,0.5527428170612002,0.039055485797419465,0.01796841538330922,0.4414590186544304,0.13195458708501853,0.15046437868006127,-0.018509791595042735,2.0806013836382586,0.4675925925925926
sp_6m_std,W3,1.2923309142275328,0.19810988507754035,2.4190619975321264,-0.31053186630177615,0.03790731575866513,0.019432159355764304,0.6219767645389827,0.26216178799261414,-0.12827138301802968,0.3904331710106438,4.837439484088013,0.0898148148148148
ndx_3m_mean,W1,2.2255729174975687,0.9990605031802642,1.1072202977070378,-0.8131836091900599,0.013275633136541922,0.04735317631097422,0.42881916041062285,0.7966149355974586,0.0,0.7966149355974586,9.451560962703255,0.9814814814814815
ndx_3m_mean,W2,1.8776971044741195,0.6477776544629826,1.1014878405787947,-0.7542622414471346,0.011570654791142165,0.04539812210074709,0.3618721255366103,0.7728757232605274,0.15046437868006127,0.6224113445804662,12.644232229965958,0.9453703703703703
ndx_3m_mean,W3,1.9621927656058484,0.5691280492371281,1.231920275952019,-0.2312669445568058,0.00839914700851639,0.037148737008740565,0.5861053268922626,0.4973151976436816,-0.12827138301802968,0.6255865806617112,9.817559568696721,0.9092592592592593
