date,m2_level,gdp_real,cpi_level,m2_yoy,gdp_yoy,cpi_yoy,nominal_gdp_yoy,excess_liq_yoy,k,k_normalized,excess_share_pct,cumulative_excess_pct
1996-09-30,3719.3,11914.063,157.7,4.193747198565667,4.0501348871777365,3.0045721750489918,7.054707062226728,-2.860959863661061,0.001979564352404557,0.8031724250561112,-24.50626650063814,-21.409450547268996
1996-12-31,3836.3,12037.775,159.1,5.141557266971808,4.421452442981133,3.378817413905133,7.800269856886266,-2.658712589914458,0.0020030701567934194,0.8127094799596131,-23.045199380434724,-22.07412869474761
1997-03-31,3878.0,12115.472,159.8,5.389026279316256,4.314068944306992,2.7652733118971096,7.079342256204102,-1.6903159768878462,0.002003044932421276,0.8126992456269325,-23.04674889030811,-22.496707688969572
1997-06-30,3886.0,12317.221,160.2,5.129315009198132,4.31127171595187,2.233567326100827,6.544839042052697,-1.4155240328545649,0.001969371055925801,0.7990366794097453,-25.150700308114505,-22.850588697183213
1997-09-30,3930.4,12471.01,161.2,5.675799209528676,4.674702492340366,2.21940393151554,6.894106423855906,-1.21830721432723,0.00195510499911693,0.7932484849369305,-26.0639029243791,-23.15516550076502
1997-12-31,4055.4,12577.495,161.8,5.711232176837044,4.483552816031211,1.6970458830924073,6.180598699123618,-0.46936652228657394,0.001992787664399251,0.8085375446841503,-23.68009458245297,-23.272507131336663
1998-03-31,4118.8,12703.742,162.0,6.209386281588447,4.855526883310857,1.3767209011263937,6.23224778443725,-0.022861502848803283,0.0020013545109798902,0.8120133877073376,-23.15067893442364,-23.278222507048863
1998-06-30,4145.3,12821.339,162.8,6.67267112712302,4.09279008633523,1.6229712858926382,5.715761372227868,0.9569097548951522,0.0019859494170250637,0.805763049518086,-24.105963980115995,-23.038995068325075
1998-09-30,4214.7,12982.752,163.5,7.233360472216566,4.103452727565782,1.4267990074441794,5.530251735009961,1.7031087372066045,0.0019855560401505126,0.8056034439675462,-24.130551760685503,-22.613217884023424
1998-12-31,4398.1,13191.67,164.4,8.450461113576967,4.883126568525764,1.606922126081578,6.490048694607342,1.960412418969625,0.0020279792543343137,0.8228158956735441,-21.53386988001924,-22.123114779281018
1999-03-31,4444.4,13315.597,164.8,7.905215111197417,4.816336792733988,1.7283950617283939,6.544731854462382,1.3604832567350345,0.0020253276366010283,0.8217400497468493,-21.69298555036554,-21.78299396509726
1999-06-30,4464.2,13426.748,166.0,7.693049960195886,4.721885912228041,1.9656019656019597,6.687487877830001,1.005562082365885,0.002002925137519327,0.8126506410125937,-23.054108313255227,-21.531603444505787
1999-09-30,4514.6,13604.771,167.8,7.1155716895627386,4.791118246732284,2.629969418960254,7.421087665692538,-0.30551597612979986,0.0019775892141765264,0.80237104845095,-24.630618456459842,-21.607982438538237
1999-12-31,4669.4,13827.98,168.8,6.168572792796878,4.8235742707329665,2.676399026763998,7.499973297496965,-1.3314005047000865,0.002000460101539163,0.8116504972569061,-23.205739832557136,-21.940832564713258
