month,date,agent_id,parent_id,alpha,beta,lam
83,2017-12-31,366,266,2.9303204898145268,0.31967951018547325,0.10909370196763263
83,2017-12-31,367,223,2.6652724098097407,0.5847275901902593,0.2193875522960146
83,2017-12-31,368,230,2.1534295493864364,1.0965704506135636,0.5092204901367694
83,2017-12-31,369,245,1.9279621863189262,1.3220378136810738,0.6857177091243948
83,2017-12-31,370,204,2.432481949016093,0.8175180509839071,0.3360839126944323
83,2017-12-31,371,250,2.096779840610065,1.1532201593899352,0.5499958255294948
83,2017-12-31,372,300,1.7621239907149568,1.4878760092850432,0.8443651054778265
83,2017-12-31,373,248,2.026298358974698,1.2237016410253019,0.6039099008324182
83,2017-12-31,374,249,3.0,0.25,0.08333333333333333
83,2017-12-31,375,214,1.9951792698348578,1.2548207301651422,0.6289263070926977
83,2017-12-31,376,218,2.5621094006376337,0.6878905993623663,0.26848603700964935
83,2017-12-31,377,246,2.5825062863882615,0.6674937136117385,0.2584674109526584
83,2017-12-31,378,241,2.0714612942616273,1.1785387057383727,0.568940732324165
83,2017-12-31,379,237,2.9678947106434537,0.28210528935654633,0.09505232390652583
83,2017-12-31,380,258,3.0,0.25,0.08333333333333333
95,2018-12-31,381,300,1.9472504892422398,1.3027495107577602,0.6690199940659494
95,2018-12-31,382,245,1.3644082077948454,1.8855917922051546,1.3819850843998112
95,2018-12-31,383,223,2.8466014441917946,0.4033985558082054,0.14171234144186212
95,2018-12-31,384,208,2.277319828883248,0.9726801711167519,0.4271161910506592
95,2018-12-31,385,266,2.847666463811388,0.4023335361886118,0.1412853440884079
95,2018-12-31,386,230,2.863855579438117,0.3861444205618829,0.13483376163739502
95,2018-12-31,387,246,1.844790229300626,1.405209770699374,0.7617179169645211
95,2018-12-31,388,250,1.9443621450219923,1.3056378549780077,0.6714993183346716
95,2018-12-31,389,224,1.9658794476661603,1.2841205523338397,0.6532041188274863
95,2018-12-31,390,238,2.761759112992373,0.48824088700762713,0.17678619569344586
95,2018-12-31,391,248,2.097497483230438,1.152502516769562,0.5494655063874249
