paper_row,label,fold,seed,full_nll_sp_raw,tail_nll_sp_raw,sp_log_sigma,ckpt_exists,ckpt_path
5,Stage 1 (vix정규),F2,42,,,0.0,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/stage1vix_normvix_F2_seed42_best.pt
5,Stage 1 (vix정규),F2,123,,,0.0,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/stage1vix_normvix_F2_seed123_best.pt
5,Stage 1 (vix정규),F2,777,,,0.0,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/stage1vix_normvix_F2_seed777_best.pt
5,Stage 1 (vix정규),F2,0,,,0.0,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/stage1vix_normvix_F2_seed0_best.pt
5,Stage 1 (vix정규),F2,99,,,0.0,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/stage1vix_normvix_F2_seed99_best.pt
5,Stage 1 (vix정규),F3,42,,,0.0,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/stage1vix_normvix_F3_seed42_best.pt
5,Stage 1 (vix정규),F3,123,,,0.0,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/stage1vix_normvix_F3_seed123_best.pt
5,Stage 1 (vix정규),F3,777,,,0.0,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/stage1vix_normvix_F3_seed777_best.pt
5,Stage 1 (vix정규),F3,0,,,0.0,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/stage1vix_normvix_F3_seed0_best.pt
5,Stage 1 (vix정규),F3,99,,,0.0,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/stage1vix_normvix_F3_seed99_best.pt
