date,margin_debt,cash_credit,margin_credit,net_margin,margin_chg,sp_ret
2015-02-01,504923,168371,170930.0,165622.0,0.0392099153686567,-0.031040805838410623
2015-03-01,518055,171625,170074.0,176356.0,0.02600792596098822,0.0548925108906233
2015-04-01,549964,168430,167073.0,214461.0,0.06159384621323993,-0.017396107114219572
2015-05-01,541671,166334,169076.0,206261.0,-0.015079168818322608,0.008520819822535275
2015-06-01,547957,170614,168441.0,208902.0,0.011604830238281183,0.010491382304589791
2015-07-01,530744,168659,169132.0,192953.0,-0.03141304883412388,-0.021011671979729973
2015-08-01,515960,175647,168692.0,171621.0,-0.027855237176491854,0.019742029435184882
2015-09-01,497279,173760,167132.0,156387.0,-0.03620629506163264,-0.06258081825586559
2015-10-01,513941,174437,163210.0,176294.0,0.03350634151050014,-0.026442831280001466
2015-11-01,515410,174607,165584.0,175219.0,0.0028583047470429612,0.08298311781266654
2015-12-01,503444,181812,159677.0,161955.0,-0.02321646844259906,0.0005048691103348713
2016-01-01,487200,180616,162825.0,143759.0,-0.03226575348996119,-0.017530185032692547
2016-02-01,474156,178989,168308.0,126859.0,-0.026773399014778376,-0.0507353220469523
2016-03-01,483909,182673,172525.0,128711.0,0.020569179763622047,-0.0041283603090035426
2016-04-01,495178,176016,187000.0,132162.0,0.02328743627417551,0.06599111444005845
2016-05-01,489867,177161,187495.0,125211.0,-0.010725436105804342,0.0026993982833325436
2016-06-01,487636,186233,189585.0,111818.0,-0.0045542973909245,0.015324602525288444
2016-07-01,513221,183435,188155.0,141631.0,0.05246741421880263,0.0009109212401243738
2016-08-01,510157,177764,185695.0,146698.0,-0.005970137621024829,0.035609800753315435
2016-09-01,540615,184757,182833.0,173025.0,0.059703189410318824,-0.0012192428990193127
2016-10-01,523760,182051,182986.0,158723.0,-0.03117745530553162,-0.0012344511393173052
2016-11-01,539972,179598,187085.0,173289.0,0.030953108293874987,-0.01942567890903446
2016-12-01,529372,188062,189979.0,151331.0,-0.019630647515056387,0.034174521829295035
2017-01-01,553557,186301,186029.0,181227.0,0.04568620931972234,0.01820076244186586
2017-02-01,568637,185720,184598.0,198319.0,0.027242000372138753,0.01788435819838252
2017-03-01,577674,186892,184977.0,205805.0,0.015892388289893145,0.03719816006681631
2017-04-01,590797,180908,184930.0,224959.0,0.022716964931778216,-0.0003891971352694146
2017-05-01,582764,176970,185463.0,220331.0,-0.01359688691716443,0.009091208748854607
2017-06-01,584258,176707,187500.0,220051.0,0.002563644974638013,0.011576251246328662
2017-07-01,594414,173195,184246.0,236973.0,0.017382731601450097,0.004813775207812565
2017-08-01,596567,170524,183744.0,242299.0,0.0036220546622387495,0.019348826001101882
2017-09-01,606334,172872,183599.0,249863.0,0.01637200850868381,0.000546433019853243
2017-10-01,607838,169368,184047.0,254423.0,0.0024804810549960976,0.019302978562167672
2017-11-01,627422,170948,185312.0,271162.0,0.032219111013131796,0.02218813506615125
2017-12-01,642798,172999,182773.0,287026.0,0.02450663190006086,0.028082627806563343
2018-01-01,665716,168450,181763.0,315503.0,0.03565350234443798,0.009831630594270502
2018-02-01,645064,164657,183267.0,297140.0,-0.031022237710975897,0.05617870412552817
2018-03-01,645235,166148,180751.0,298336.0,0.00026508997556828895,-0.0389473718793677
2018-04-01,652303,155989,179410.0,316904.0,0.010954148488535154,-0.02688449860055664
2018-05-01,668940,155344,181890.0,331706.0,0.025505018373363386,0.0027187749953683227
2018-06-01,646931,157150,179399.0,310382.0,-0.032901306544682596,0.0216083418545836
2018-07-01,652790,148947,178299.0,325544.0,0.009056607273418615,0.00484243626760783
2018-08-01,652395,148873,178601.0,324921.0,-0.0006050950535394506,0.03602155617289915
2018-09-01,648126,151384,188152.0,308590.0,-0.006543581725794945,0.030263211276748248
2018-10-01,607645,148037,183432.0,276176.0,-0.06245853429734338,0.0042942874264617625
2018-11-01,592593,146452,178810.0,267331.0,-0.02477104230266025,-0.0694033560936963
2018-12-01,554285,159572,190743.0,203970.0,-0.06464470555676494,0.01785935665477978
2019-01-01,568433,151804,186050.0,230579.0,0.025524775160792768,-0.09177689467997252
2019-02-01,581205,149686,181955.0,249564.0,0.02246878699864374,0.07868440166582613
2019-03-01,574013,141074,180765.0,252174.0,-0.012374291342985733,0.029728889343927145
2019-04-01,588721,143802,178523.0,266396.0,0.02562311306538345,0.01792425624958849
2019-05-01,568751,137489,179019.0,252243.0,-0.03392099143737015,0.03931349831373798
2019-06-01,596304,139826,179542.0,276936.0,0.04844474998725268,-0.0657777313668354
2019-07-01,602139,138703,182613.0,280823.0,0.009785277308218543,0.0689301639982407
2019-08-01,564894,135567,181451.0,247876.0,-0.06185448874761479,0.013128152166957952
2019-09-01,555910,150648,187887.0,217375.0,-0.015903868690409162,-0.018091627240523933
