date,m2_level,m2_growth,cpi,pi_e_annual,pi_e_monthly,tb3_pct,tbill_wr,sp_close,sp_return,sp_next_return,metab_max
2002-05-01,5528.3,0.004761818214863434,179.5,0.012408347433727984,0.0010340289528106654,1.73,0.0014416666666666666,1067.1400146484375,-0.009081481352177012,-0.0724553538081798,0.004761818214863434
2002-06-01,5553.3,0.004522185843749416,179.6,0.010692177827799743,0.0008910148189833119,1.7,0.0014166666666666668,989.8200073242188,-0.0724553538081798,-0.07900427514940767,0.004522185843749416
2002-07-01,5596.0,0.007689121783444053,180.0,0.01465614430665152,0.0012213453588876266,1.68,0.0014,911.6199951171875,-0.07900427514940767,0.004881433306494376,0.007689121783444053
2002-08-01,5638.3,0.007558970693352318,180.5,0.01747463359639223,0.0014562194663660193,1.62,0.0013500000000000003,916.0700073242188,0.004881433306494376,-0.11002431825242787,0.007558970693352318
2002-09-01,5662.3,0.004256602167320045,180.8,0.01516002245929271,0.0012633352049410591,1.63,0.0013583333333333331,815.280029296875,-0.11002431825242787,0.08644880033371405,0.004256602167320045
2002-10-01,5707.1,0.007911979231054467,181.2,0.020270270270270174,0.0016891891891891813,1.58,0.0013166666666666667,885.760009765625,0.08644880033371405,0.05706962070498589,0.007911979231054467
2002-11-01,5758.1,0.008936237318427853,181.5,0.022535211267605604,0.001877934272300467,1.23,0.001025,936.3099975585938,0.05706962070498589,-0.06033257188502883,0.008936237318427853
2002-12-01,5779.4,0.0036991368680638903,181.8,0.024802705749718212,0.002066892145809851,1.19,0.0009916666666666665,879.8200073242188,-0.06033257188502883,-0.02741469268304464,0.0036991368680638903
2003-01-01,5812.1,0.00565802678478744,182.6,0.02757456387169399,0.002297880322641166,1.17,0.0009749999999999998,855.7000122070312,-0.02741469268304464,-0.01700360825687175,0.00565802678478744
2003-02-01,5848.2,0.006211180124223503,183.6,0.03146067415730336,0.0026217228464419464,1.17,0.0009749999999999998,841.1500244140625,-0.01700360825687175,0.008357567684332823,0.006211180124223503
2003-03-01,5868.4,0.0034540542389109863,183.9,0.03025210084033625,0.0025210084033613542,1.13,0.0009416666666666666,848.1799926757812,0.008357567684332823,0.0810441071800323,0.0034540542389109863
2003-04-01,5905.5,0.006321995773975964,183.2,0.02175125488008911,0.0018126045733407592,1.13,0.0009416666666666666,916.9199829101562,0.0810441071800323,0.050898709609522585,0.006321995773975964
2003-05-01,5965.3,0.010126153585640507,182.9,0.018941504178273005,0.0015784586815227504,1.07,0.0008916666666666668,963.5900268554688,0.050898709609522585,0.011322214676852127,0.010126153585640507
2003-06-01,6002.2,0.006185774395252475,183.1,0.01948775055679297,0.0016239792130660808,0.92,0.0007666666666666667,974.5,0.011322214676852127,0.016223701958536507,0.006185774395252475
2003-07-01,6049.1,0.007813801606077808,183.7,0.020555555555555438,0.0017129629629629532,0.9,0.0007500000000000001,990.3099975585938,0.016223701958536507,0.017873203593487874,0.007813801606077808
2003-08-01,6107.1,0.009588203203782397,184.5,0.02216066481994461,0.0018467220683287173,0.95,0.0007916666666666666,1008.010009765625,0.017873203593487874,-0.011944364585525724,0.009588203203782397
2003-09-01,6079.7,-0.004486581192382766,185.1,0.02378318584070782,0.0019819321533923184,0.94,0.0007833333333333333,995.969970703125,-0.011944364585525724,0.05496148663571665,0.0007833333333333333
2003-10-01,6070.0,-0.0015954734608615295,184.9,0.02041942604856528,0.0017016188373804402,0.92,0.0007666666666666667,1050.7099609375,0.05496148663571665,0.0071285040713728876,0.0007666666666666667
2003-11-01,6075.5,0.0009060955518944702,185.0,0.019283746556473913,0.0016069788797061595,0.93,0.0007750000000000001,1058.199951171875,0.0071285040713728876,0.05076554077889206,0.0009060955518944702
2003-12-01,6073.8,-0.0002798123611225112,185.5,0.020352035203520247,0.0016960029336266873,0.9,0.0007500000000000001,1111.9200439453125,0.05076554077889206,0.017276386950755285,0.0007500000000000001
2004-01-01,6082.1,0.0013665250749119728,186.3,0.020262869660460092,0.0016885724717050077,0.88,0.0007333333333333333,1131.1300048828125,0.017276386950755285,0.01220897373761054,0.0013665250749119728
2004-02-01,6121.8,0.006527350750562988,186.7,0.01688453159041381,0.0014070442992011507,0.93,0.0007750000000000001,1144.93994140625,0.01220897373761054,-0.01635891961786684,0.006527350750562988
2004-03-01,6157.9,0.005896958410924746,187.1,0.017400761283306032,0.0014500634402755026,0.94,0.0007833333333333333,1126.2099609375,-0.01635891961786684,-0.016790751960348183,0.005896958410924746
2004-04-01,6198.9,0.006658113967423995,187.4,0.022925764192139875,0.0019104803493449896,0.94,0.0007833333333333333,1107.300048828125,-0.016790751960348183,0.01208345009735412,0.006658113967423995
2004-05-01,6275.7,0.01238929487489715,188.2,0.028977583378895444,0.0024147986149079537,1.02,0.0008500000000000001,1120.6800537109375,0.01208345009735412,0.017988998771432563,0.01238929487489715
2004-06-01,6277.9,0.00035055850343379547,188.9,0.03167667941015839,0.002639723284179866,1.27,0.0010583333333333332,1140.8399658203125,0.017988998771432563,-0.034290519520026264,0.0010583333333333332
2004-07-01,6291.1,0.002102613931410202,189.1,0.02939575394665228,0.0024496461622210233,1.33,0.0011083333333333333,1101.719970703125,-0.034290519520026264,0.0022873503233691306,0.002102613931410202
2004-08-01,6317.8,0.004244090858514404,189.2,0.025474254742547275,0.0021228545618789396,1.48,0.0012333333333333335,1104.239990234375,0.0022873503233691306,0.009363875526838816,0.004244090858514404
2004-09-01,6352.2,0.005444933362879434,189.8,0.025391680172879516,0.00211597334773996,1.65,0.0013750000000000001,1114.5799560546875,0.009363875526838816,0.014014243690939843,0.005444933362879434
2004-10-01,6379.8,0.004344951355435889,190.8,0.03190914007571655,0.002659095006309712,1.76,0.0014666666666666667,1130.199951171875,0.014014243690939843,0.03859493629597055,0.004344951355435889
2004-11-01,6406.3,0.004153735226809507,191.7,0.03621621621621607,0.003018018018018006,2.07,0.001725,1173.8199462890625,0.03859493629597055,0.03245821284320516,0.004153735226809507
2004-12-01,6424.5,0.002840953436460847,191.7,0.033423180592991875,0.0027852650494159894,2.19,0.001825,1211.9200439453125,0.03245821284320516,-0.025290467442294018,0.002840953436460847
2005-01-01,6430.8,0.0009806210600047383,191.6,0.028448738593666034,0.0023707282161388363,2.33,0.0019416666666666668,1181.27001953125,-0.025290467442294018,0.018903346132113308,0.0019416666666666668
2005-02-01,6438.9,0.001259563351371451,192.4,0.030530262453133394,0.002544188537761116,2.54,0.0021166666666666664,1203.5999755859375,0.018903346132113308,-0.01911765556028966,0.0021166666666666664
2005-03-01,6448.3,0.0014598766870117519,193.1,0.032068412613575736,0.002672367717797978,2.74,0.0022833333333333334,1180.5899658203125,-0.01911765556028966,-0.020108582083263493,0.0022833333333333334
2005-04-01,6461.8,0.0020935750507886652,193.7,0.03361792956243326,0.0028014941302027716,2.78,0.0023166666666666665,1156.8499755859375,-0.020108582083263493,0.02995204663120865,0.0023166666666666665
2005-05-01,6479.0,0.0026617970225013554,193.6,0.02869287991498415,0.002391073326248679,2.84,0.0023666666666666667,1191.5,0.02995204663120865,-0.00014271417986777557,0.0026617970225013554
2005-06-01,6511.7,0.0050470751659206226,193.7,0.02541026998411855,0.002117522498676546,2.97,0.002475,1191.3299560546875,-0.00014271417986777557,0.03596828690361842,0.0050470751659206226
2005-07-01,6543.5,0.004883517361057743,194.9,0.03067160232681121,0.002555966860567601,3.22,0.002683333333333333,1234.1800537109375,0.03596828690361842,-0.011222104598600069,0.004883517361057743
2005-08-01,6576.3,0.005012607931535129,196.1,0.03646934460887952,0.0030391120507399596,3.44,0.0028666666666666667,1220.3299560546875,-0.011222104598600069,0.00694902431673361,0.005012607931535129
2005-09-01,6610.1,0.005139668202484682,198.8,0.04741833508956805,0.003951527924130671,3.42,0.00285,1228.81005859375,0.00694902431673361,-0.01774077993231349,0.005139668202484682
2005-10-01,6643.9,0.005113387089453969,199.1,0.04350104821802936,0.0036250873515024464,3.71,0.0030916666666666666,1207.010009765625,-0.01774077993231349,0.035186096519093324,0.005113387089453969
2005-11-01,6660.7,0.0025286352895137476,198.1,0.03338549817423053,0.0027821248478525442,3.88,0.0032333333333333333,1249.47998046875,0.035186096519093324,-0.0009523493171964548,0.0032333333333333333
2005-12-01,6687.8,0.004068641434083586,198.1,0.03338549817423053,0.0027821248478525442,3.89,0.003241666666666667,1248.2900390625,-0.0009523493171964548,0.025466771341108085,0.004068641434083586
2006-01-01,6730.1,0.006324949908789179,199.3,0.04018789144050117,0.0033489909533750972,4.24,0.003533333333333333,1280.0799560546875,0.025466771341108085,0.0004531577283561905,0.006324949908789179
2006-02-01,6754.7,0.003655220576217255,199.4,0.0363825363825363,0.003031878031878025,4.43,0.0036916666666666664,1280.6600341796875,0.0004531577283561905,0.011095810408889628,0.0036916666666666664
2006-03-01,6769.3,0.0021614579477993168,199.7,0.03417918177110302,0.0028482651475919183,4.51,0.0037583333333333336,1294.8699951171875,0.011095810408889628,0.01215565291784415,0.0037583333333333336
2006-04-01,6806.9,0.0055544886472751465,200.7,0.03613835828600931,0.0030115298571674423,4.6,0.003833333333333333,1310.6099853515625,0.01215565291784415,-0.030916916538203165,0.0055544886472751465
2006-05-01,6813.7,0.0009989863227020113,201.3,0.03977272727272729,0.0033143939393939412,4.72,0.003933333333333333,1270.0899658203125,-0.030916916538203165,8.659650459597046e-05,0.003933333333333333
2006-06-01,6851.8,0.005591675594757595,201.8,0.041817243159525175,0.0034847702632937647,4.79,0.003991666666666667,1270.199951171875,8.659650459597046e-05,0.0050858788034533475,0.005591675594757595
2006-07-01,6893.6,0.006100586707142641,202.9,0.041046690610569536,0.003420557550880795,4.95,0.004125,1276.6600341796875,0.0050858788034533475,0.02127419311502643,0.006100586707142641
2006-08-01,6925.1,0.004569455727051253,203.8,0.03926568077511483,0.0032721400645929024,4.96,0.0041333333333333335,1303.8199462890625,0.02127419311502643,0.024566297967782313,0.004569455727051253
2006-09-01,6952.4,0.003942181340341522,202.8,0.02012072434607637,0.0016767270288396974,4.81,0.004008333333333333,1335.8499755859375,0.024566297967782313,0.03150800358539563,0.004008333333333333
2006-10-01,7001.7,0.007091076462804269,201.9,0.014063284781516971,0.0011719403984597476,4.92,0.0041,1377.93994140625,0.03150800358539563,0.016466656343095964,0.007091076462804269
2006-11-01,7037.2,0.005070197237813767,202.0,0.01968702675416467,0.001640585562847056,4.94,0.004116666666666667,1400.6300048828125,0.016466656343095964,0.012615782814670462,0.005070197237813767
2006-12-01,7080.1,0.006096174614903749,203.1,0.025239777889954462,0.002103314824162872,4.85,0.0040416666666666665,1418.300048828125,0.012615782814670462,0.014059043023177953,0.006096174614903749
2007-01-01,7118.3,0.005395404019717276,203.437,0.020757651781234232,0.0017298043151028526,4.98,0.00415,1438.239990234375,0.014059043023177953,-0.021846175991944383,0.005395404019717276
2007-02-01,7134.3,0.0022477276877905794,204.226,0.02420260782347028,0.0020168839852891898,5.03,0.004191666666666667,1406.8199462890625,-0.021846175991944383,0.009979982939206433,0.004191666666666667
